PLAYER_ID,PLAYER_NAME
200794,Paul Millsap
361,Clifford Robinson
76497,Quintin Dailey
954,Kerry Kittles
1887,Wally Szczerbiak
77141,Dennis Johnson
2406,Caron Butler
77168,Mickey Johnson
2561,David West
1716,Larry Hughes
76011,Alvan Adams
202328,Greg Monroe
2,Byron Scott
330,Danny Manning
901,Otis Thorpe
78173,Jerry Sloan
201163,Wilson Chandler
78614,Mike Woodson
926,Alvin Robertson
202083,Wesley Matthews
78106,Ken Sears
96,Detlef Schrempf
77376,Lafayette Lever
201564,O.J. Mayo
77554,Jim McMillian
76577,Terry Dischinger
210,Terrell Brandon
77248,Johnny Kerr
166,Ron Harper
1891,Jason Terry
76744,Larry Foust
78331,Mychal Thompson
288,Armen Gilliam
1500,Ron Mercer
201152,Thaddeus Young
1381,John Long
1938,Manu Ginobili
76252,Junior Bridgeman
101135,David Lee
201145,Jeff Green
2246,Mehmet Okur
80,Ken Norman
1733,Al Harrington
76243,Carl Braun
1729,Ricky Davis
302,Mookie Blaylock
77907,Frank Ramsey
77596,Eddie Miles
78188,Elmore Smith
76027,Lucius Allen
757,Damon Stoudamire
436,Juwan Howard
383,Kendall Gill
157,Derek Harper
201609,Goran Dragic
1885,Lamar Odom
76783,Dick Garmaker
78450,Bill Walton
78215,Ricky Sobers
393,Rod Strickland
78257,Steve Stipanovich
76362,Bill Cartwright
1897,Metta World Peace
979,Jermaine O'Neal
201583,Ryan Anderson
77867,Jim Pollard
2590,Mo Williams
78482,Scott Wedman
202339,Eric Bledsoe
304,John Stockton
786,Gerald Wilkins
980,Zydrunas Ilgauskas
2738,Andre Iguodala
339,Tom Gugliotta
76773,Harry Gallatin
2747,JR Smith
76526,Johnny Davis
2201,Eddy Curry
100263,Bill Laimbeer
77152,John Johnson
192,Dennis Scott
1489,Lionel Simmons
433,Buck Williams
76965,Clem Haskins
78183,Derek Smith
101150,Lou Williams
363,Christian Laettner
2210,Richard Jefferson
76726,Sleepy Floyd
137,Vernon Maxwell
1847,Thurl Bailey
181,Kenny Smith
77584,Tom Meschery
229,James Edwards
201954,Darren Collison
201951,Ty Lawson
767,Terry Catledge
