player_id,season_id,cluster
2.0,1996-97,0
3.0,1996-97,1
3.0,1997-98,1
3.0,1998-99,2
3.0,1999-00,1
3.0,2000-01,0
3.0,2001-02,0
3.0,2002-03,1
7.0,1996-97,1
7.0,1997-98,2
7.0,1998-99,1
9.0,1996-97,1
15.0,1996-97,2
15.0,1997-98,0
15.0,1998-99,0
15.0,1999-00,0
15.0,2000-01,0
15.0,2001-02,0
15.0,2002-03,0
15.0,2003-04,2
15.0,2004-05,0
15.0,2005-06,1
15.0,2006-07,1
15.0,2007-08,1
17.0,1996-97,0
17.0,1997-98,0
21.0,1996-97,0
21.0,1997-98,0
21.0,1998-99,0
21.0,1999-00,0
21.0,2000-01,0
21.0,2001-02,0
22.0,1996-97,0
22.0,1997-98,0
22.0,1998-99,0
22.0,1999-00,0
23.0,1996-97,1
23.0,1997-98,1
23.0,1998-99,1
23.0,1999-00,1
26.0,1996-97,2
26.0,1997-98,2
26.0,1998-99,2
26.0,1999-00,2
26.0,2000-01,1
28.0,1996-97,0
28.0,1997-98,1
28.0,1998-99,1
28.0,1999-00,1
28.0,2000-01,1
29.0,1996-97,1
29.0,1997-98,1
29.0,1998-99,1
29.0,1999-00,1
29.0,2000-01,1
38.0,1996-97,1
38.0,1997-98,1
42.0,1996-97,2
42.0,1997-98,2
42.0,1999-00,2
42.0,2000-01,1
42.0,2001-02,1
42.0,2002-03,1
43.0,1996-97,2
43.0,1997-98,0
43.0,1998-99,1
43.0,1999-00,0
43.0,2000-01,0
43.0,2001-02,0
43.0,2002-03,0
43.0,2003-04,1
45.0,1996-97,0
45.0,1997-98,0
45.0,1998-99,0
45.0,1999-00,0
45.0,2000-01,0
45.0,2001-02,0
47.0,1996-97,2
51.0,1996-97,0
51.0,1997-98,2
51.0,2000-01,0
52.0,1997-98,1
52.0,1998-99,1
53.0,1996-97,0
53.0,1997-98,2
53.0,1998-99,2
53.0,1999-00,0
53.0,2000-01,2
56.0,1996-97,0
56.0,1997-98,0
56.0,1998-99,0
56.0,1999-00,0
56.0,2000-01,0
56.0,2001-02,0
56.0,2002-03,0
56.0,2003-04,0
56.0,2004-05,0
56.0,2005-06,0
56.0,2006-07,0
57.0,1996-97,0
57.0,1997-98,0
57.0,1998-99,0
57.0,1999-00,0
