FGA,FGM,FG_PCT,GRID_TYPE,SEASON_ID,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE
66134.0,39735.0,0.601,League Averages,2014-15,Center(C),Restricted Area,Less Than 8 ft.
6987.0,2738.0,0.392,League Averages,2014-15,Right Side(R),Right Corner 3,24+ ft.
59.0,4.0,0.068,League Averages,2015-16,Back Court(BC),Above the Break 3,Back Court Shot
10884.0,3746.0,0.344,League Averages,2015-16,Center(C),Above the Break 3,24+ ft.
16648.0,5802.0,0.349,League Averages,2015-16,Left Side Center(LC),Above the Break 3,24+ ft.
15837.0,5597.0,0.353,League Averages,2015-16,Right Side Center(RC),Above the Break 3,24+ ft.
440.0,17.0,0.039,League Averages,2015-16,Back Court(BC),Backcourt,Back Court Shot
6851.0,2889.0,0.422,League Averages,2015-16,Center(C),In The Paint (Non-RA),8-16 ft.
19352.0,7561.0,0.391,League Averages,2015-16,Center(C),In The Paint (Non-RA),Less Than 8 ft.
2089.0,842.0,0.403,League Averages,2015-16,Left Side(L),In The Paint (Non-RA),8-16 ft.
1932.0,799.0,0.414,League Averages,2015-16,Right Side(R),In The Paint (Non-RA),8-16 ft.
7865.0,2940.0,0.374,League Averages,2015-16,Left Side(L),Left Corner 3,24+ ft.
7324.0,2897.0,0.396,League Averages,2015-16,Center(C),Mid-Range,16-24 ft.
2265.0,987.0,0.436,League Averages,2015-16,Center(C),Mid-Range,8-16 ft.
7754.0,3066.0,0.395,League Averages,2015-16,Left Side Center(LC),Mid-Range,16-24 ft.
5452.0,2173.0,0.399,League Averages,2015-16,Left Side(L),Mid-Range,16-24 ft.
7639.0,3005.0,0.393,League Averages,2015-16,Left Side(L),Mid-Range,8-16 ft.
8145.0,3249.0,0.399,League Averages,2015-16,Right Side Center(RC),Mid-Range,16-24 ft.
4924.0,1996.0,0.405,League Averages,2015-16,Right Side(R),Mid-Range,16-24 ft.
7630.0,3011.0,0.395,League Averages,2015-16,Right Side(R),Mid-Range,8-16 ft.
67444.0,40634.0,0.602,League Averages,2015-16,Center(C),Restricted Area,Less Than 8 ft.
7361.0,2803.0,0.381,League Averages,2015-16,Right Side(R),Right Corner 3,24+ ft.
63.0,4.0,0.063,League Averages,2016-17,Back Court(BC),Above the Break 3,Back Court Shot
13187.0,4648.0,0.352,League Averages,2016-17,Center(C),Above the Break 3,24+ ft.
18579.0,6513.0,0.351,League Averages,2016-17,Left Side Center(LC),Above the Break 3,24+ ft.
18244.0,6434.0,0.353,League Averages,2016-17,Right Side Center(RC),Above the Break 3,24+ ft.
499.0,10.0,0.02,League Averages,2016-17,Back Court(BC),Backcourt,Back Court Shot
7159.0,3069.0,0.429,League Averages,2016-17,Center(C),In The Paint (Non-RA),8-16 ft.
18654.0,7727.0,0.414,League Averages,2016-17,Center(C),In The Paint (Non-RA),Less Than 8 ft.
1919.0,778.0,0.405,League Averages,2016-17,Left Side(L),In The Paint (Non-RA),8-16 ft.
2091.0,879.0,0.42,League Averages,2016-17,Right Side(R),In The Paint (Non-RA),8-16 ft.
8031.0,3102.0,0.386,League Averages,2016-17,Left Side(L),Left Corner 3,24+ ft.
6444.0,2574.0,0.399,League Averages,2016-17,Center(C),Mid-Range,16-24 ft.
2220.0,983.0,0.443,League Averages,2016-17,Center(C),Mid-Range,8-16 ft.
6847.0,2808.0,0.41,League Averages,2016-17,Left Side Center(LC),Mid-Range,16-24 ft.
4554.0,1878.0,0.412,League Averages,2016-17,Left Side(L),Mid-Range,16-24 ft.
7485.0,3003.0,0.401,League Averages,2016-17,Left Side(L),Mid-Range,8-16 ft.
7577.0,3016.0,0.398,League Averages,2016-17,Right Side Center(RC),Mid-Range,16-24 ft.
4488.0,1770.0,0.394,League Averages,2016-17,Right Side(R),Mid-Range,16-24 ft.
6960.0,2715.0,0.39,League Averages,2016-17,Right Side(R),Mid-Range,8-16 ft.
67289.0,41113.0,0.611,League Averages,2016-17,Center(C),Restricted Area,Less Than 8 ft.
7640.0,2966.0,0.388,League Averages,2016-17,Right Side(R),Right Corner 3,24+ ft.
