PLAYER_ID,PLAYER,Cutting Finger Roll Layup Shot FGA,Cutting Finger Roll Layup Shot FGM,Cutting Finger Roll Layup Shot FG,Jump Shot FGA,Jump Shot FGM,Jump Shot FG,Layup Shot FGA,Layup Shot FGM,Layup Shot FG,Running Layup Shot FGA,Running Layup Shot FGM,Running Layup Shot FG,Step Back Jump shot FGA,Step Back Jump shot FGM,Step Back Jump shot FG,Driving Finger Roll Layup Shot FGA,Driving Finger Roll Layup Shot FGM,Driving Finger Roll Layup Shot FG,Driving Layup Shot FGA,Driving Layup Shot FGM,Driving Layup Shot FG,Fadeaway Bank shot FGA,Fadeaway Bank shot FGM,Fadeaway Bank shot FG,Pullup Jump shot FGA,Pullup Jump shot FGM,Pullup Jump shot FG,Floating Jump shot FGA,Floating Jump shot FGM,Floating Jump shot FG,Running Finger Roll Layup Shot FGA,Running Finger Roll Layup Shot FGM,Running Finger Roll Layup Shot FG,Cutting Layup Shot FGA,Cutting Layup Shot FGM,Cutting Layup Shot FG,Driving Bank shot FGA,Driving Bank shot FGM,Driving Bank shot FG,Fadeaway Jump Shot FGA,Fadeaway Jump Shot FGM,Fadeaway Jump Shot FG,Running Jump Shot FGA,Running Jump Shot FGM,Running Jump Shot FG,Driving Reverse Layup Shot FGA,Driving Reverse Layup Shot FGM,Driving Reverse Layup Shot FG,Running Reverse Layup Shot FGA,Running Reverse Layup Shot FGM,Running Reverse Layup Shot FG,Running Pull-Up Jump Shot FGA,Running Pull-Up Jump Shot FGM,Running Pull-Up Jump Shot FG,Turnaround Jump Shot FGA,Turnaround Jump Shot FGM,Turnaround Jump Shot FG,Jump Bank Shot FGA,Jump Bank Shot FGM,Jump Bank Shot FG,Pullup Bank shot FGA,Pullup Bank shot FGM,Pullup Bank shot FG,Driving Floating Jump Shot FGA,Driving Floating Jump Shot FGM,Driving Floating Jump Shot FG,Driving Floating Bank Jump Shot FGA,Driving Floating Bank Jump Shot FGM,Driving Floating Bank Jump Shot FG,Driving Dunk Shot FGA,Driving Dunk Shot FGM,Driving Dunk Shot FG,Reverse Layup Shot FGA,Reverse Layup Shot FGM,Reverse Layup Shot FG,Driving Hook Shot FGA,Driving Hook Shot FGM,Driving Hook Shot FG,Finger Roll Layup Shot FGA,Finger Roll Layup Shot FGM,Finger Roll Layup Shot FG,Alley Oop Layup shot FGA,Alley Oop Layup shot FGM,Alley Oop Layup shot FG,Turnaround Fadeaway Bank Jump Shot FGA,Turnaround Fadeaway Bank Jump Shot FGM,Turnaround Fadeaway Bank Jump Shot FG,Turnaround Fadeaway shot FGA,Turnaround Fadeaway shot FGM,Turnaround Fadeaway shot FG,Turnaround Bank shot FGA,Turnaround Bank shot FGM,Turnaround Bank shot FG,Running Dunk Shot FGA,Running Dunk Shot FGM,Running Dunk Shot FG,Tip Layup Shot FGA,Tip Layup Shot FGM,Tip Layup Shot FG,Hook Shot FGA,Hook Shot FGM,Hook Shot FG,Putback Layup Shot FGA,Putback Layup Shot FGM,Putback Layup Shot FG,Step Back Bank Jump Shot FGA,Step Back Bank Jump Shot FGM,Step Back Bank Jump Shot FG,Driving Jump shot FGA,Driving Jump shot FGM,Driving Jump shot FG,Alley Oop Dunk Shot FGA,Alley Oop Dunk Shot FGM,Alley Oop Dunk Shot FG,Cutting Dunk Shot FGA,Cutting Dunk Shot FGM,Cutting Dunk Shot FG,Dunk Shot FGA,Dunk Shot FGM,Dunk Shot FG,Putback Dunk Shot FGA,Putback Dunk Shot FGM,Putback Dunk Shot FG,Turnaround Hook Shot FGA,Turnaround Hook Shot FGM,Turnaround Hook Shot FG,Reverse Dunk Shot FGA,Reverse Dunk Shot FGM,Reverse Dunk Shot FG,Tip Dunk Shot FGA,Tip Dunk Shot FGM,Tip Dunk Shot FG,Driving Reverse Dunk Shot FGA,Driving Reverse Dunk Shot FGM,Driving Reverse Dunk Shot FG,Running Alley Oop Dunk Shot FGA,Running Alley Oop Dunk Shot FGM,Running Alley Oop Dunk Shot FG,Driving Bank Hook Shot FGA,Driving Bank Hook Shot FGM,Driving Bank Hook Shot FG,Running Reverse Dunk Shot FGA,Running Reverse Dunk Shot FGM,Running Reverse Dunk Shot FG,Hook Bank Shot FGA,Hook Bank Shot FGM,Hook Bank Shot FG,No Shot FGA,No Shot FGM,No Shot FG,Turnaround Bank Hook Shot FGA,Turnaround Bank Hook Shot FGM,Turnaround Bank Hook Shot FG,Running Alley Oop Layup Shot FGA,Running Alley Oop Layup Shot FGM,Running Alley Oop Layup Shot FG,Running Hook Shot FGA,Running Hook Shot FGM,Running Hook Shot FG
201939.0,Stephen Curry,12.0,10.0,0.833333333333,743.0,242.0,0.325706594886,66.0,19.0,0.287878787879,32.0,23.0,0.71875,91.0,53.0,0.582417582418,72.0,62.0,0.861111111111,76.0,54.0,0.710526315789,2.0,1.0,0.5,215.0,150.0,0.697674418605,47.0,23.0,0.489361702128,16.0,16.0,1.0,27.0,23.0,0.851851851852,13.0,7.0,0.538461538462,21.0,13.0,0.619047619048,14.0,6.0,0.428571428571,26.0,20.0,0.769230769231,11.0,10.0,0.909090909091,5.0,3.0,0.6,12.0,6.0,0.5,17.0,10.0,0.588235294118,6.0,4.0,0.666666666667,19.0,12.0,0.631578947368,5.0,5.0,1.0,4.0,4.0,1.0,14.0,9.0,0.642857142857,1.0,1.0,1.0,12.0,7.0,0.583333333333,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.5,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201935.0,James Harden,2.0,2.0,1.0,624.0,195.0,0.3125,79.0,32.0,0.405063291139,78.0,59.0,0.75641025641,199.0,91.0,0.457286432161,14.0,10.0,0.714285714286,212.0,129.0,0.608490566038,0.0,0.0,0.0,203.0,86.0,0.423645320197,47.0,18.0,0.382978723404,9.0,8.0,0.888888888889,12.0,10.0,0.833333333333,2.0,2.0,1.0,27.0,7.0,0.259259259259,11.0,3.0,0.272727272727,4.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.5,16.0,4.0,0.25,5.0,3.0,0.6,1.0,1.0,1.0,23.0,13.0,0.565217391304,4.0,2.0,0.5,6.0,5.0,0.833333333333,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.571428571429,0.0,0.0,0.0,6.0,6.0,1.0,7.0,3.0,0.428571428571,0.0,0.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201142.0,Kevin Durant,0.0,0.0,0.0,635.0,237.0,0.373228346457,58.0,24.0,0.413793103448,13.0,8.0,0.615384615385,57.0,34.0,0.59649122807,14.0,11.0,0.785714285714,51.0,30.0,0.588235294118,0.0,0.0,0.0,202.0,114.0,0.564356435644,48.0,17.0,0.354166666667,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,0.75,46.0,22.0,0.478260869565,9.0,6.0,0.666666666667,10.0,8.0,0.8,0.0,0.0,0.0,8.0,8.0,1.0,39.0,20.0,0.512820512821,3.0,1.0,0.333333333333,1.0,1.0,1.0,10.0,5.0,0.5,0.0,0.0,0.0,33.0,32.0,0.969696969697,3.0,2.0,0.666666666667,1.0,1.0,1.0,9.0,8.0,0.888888888889,13.0,10.0,0.769230769231,1.0,1.0,1.0,19.0,11.0,0.578947368421,1.0,1.0,1.0,11.0,11.0,1.0,4.0,1.0,0.25,1.0,0.0,0.0,5.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,17.0,17.0,1.0,42.0,37.0,0.880952380952,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202326.0,DeMarcus Cousins,2.0,2.0,1.0,567.0,162.0,0.285714285714,212.0,95.0,0.448113207547,10.0,9.0,0.9,23.0,7.0,0.304347826087,11.0,8.0,0.727272727273,127.0,75.0,0.590551181102,1.0,1.0,1.0,15.0,8.0,0.533333333333,15.0,10.0,0.666666666667,0.0,0.0,0.0,21.0,17.0,0.809523809524,4.0,3.0,0.75,20.0,9.0,0.45,14.0,4.0,0.285714285714,12.0,8.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.416666666667,11.0,8.0,0.727272727273,1.0,1.0,1.0,6.0,1.0,0.166666666667,1.0,1.0,1.0,25.0,24.0,0.96,13.0,10.0,0.769230769231,11.0,5.0,0.454545454545,5.0,3.0,0.6,12.0,7.0,0.583333333333,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,40.0,19.0,0.475,62.0,37.0,0.596774193548,10.0,9.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.888888888889,8.0,8.0,1.0,33.0,27.0,0.818181818182,1.0,1.0,1.0,5.0,2.0,0.4,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2544.0,LeBron James,2.0,1.0,0.5,459.0,136.0,0.296296296296,146.0,76.0,0.520547945205,54.0,43.0,0.796296296296,43.0,15.0,0.348837209302,21.0,17.0,0.809523809524,198.0,131.0,0.661616161616,0.0,0.0,0.0,37.0,21.0,0.567567567568,21.0,8.0,0.380952380952,9.0,9.0,1.0,38.0,35.0,0.921052631579,8.0,6.0,0.75,39.0,16.0,0.410256410256,18.0,7.0,0.388888888889,12.0,8.0,0.666666666667,4.0,4.0,1.0,3.0,2.0,0.666666666667,29.0,8.0,0.275862068966,13.0,7.0,0.538461538462,0.0,0.0,0.0,10.0,5.0,0.5,2.0,1.0,0.5,24.0,22.0,0.916666666667,19.0,7.0,0.368421052632,7.0,4.0,0.571428571429,6.0,5.0,0.833333333333,7.0,5.0,0.714285714286,2.0,2.0,1.0,46.0,19.0,0.413043478261,1.0,1.0,1.0,29.0,29.0,1.0,19.0,9.0,0.473684210526,5.0,1.0,0.2,17.0,15.0,0.882352941176,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.875,21.0,21.0,1.0,17.0,15.0,0.882352941176,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,0.75,0.0,0.0,0.0,3.0,3.0,1.0,7.0,7.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203081.0,Damian Lillard,0.0,0.0,0.0,609.0,178.0,0.292282430213,59.0,5.0,0.0847457627119,21.0,12.0,0.571428571429,96.0,40.0,0.416666666667,55.0,36.0,0.654545454545,176.0,101.0,0.573863636364,3.0,1.0,0.333333333333,192.0,102.0,0.53125,56.0,20.0,0.357142857143,1.0,1.0,1.0,20.0,19.0,0.95,8.0,7.0,0.875,33.0,14.0,0.424242424242,6.0,2.0,0.333333333333,35.0,20.0,0.571428571429,1.0,1.0,1.0,8.0,6.0,0.75,3.0,1.0,0.333333333333,5.0,4.0,0.8,2.0,1.0,0.5,32.0,14.0,0.4375,9.0,6.0,0.666666666667,7.0,5.0,0.714285714286,10.0,7.0,0.7,1.0,0.0,0.0,4.0,2.0,0.5,2.0,0.0,0.0,2.0,1.0,0.5,4.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203076.0,Anthony Davis,1.0,1.0,1.0,588.0,200.0,0.340136054422,73.0,25.0,0.342465753425,7.0,6.0,0.857142857143,21.0,14.0,0.666666666667,0.0,0.0,0.0,28.0,18.0,0.642857142857,0.0,0.0,0.0,16.0,8.0,0.5,34.0,28.0,0.823529411765,2.0,2.0,1.0,12.0,10.0,0.833333333333,4.0,3.0,0.75,9.0,4.0,0.444444444444,16.0,9.0,0.5625,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,16.0,0.4,6.0,4.0,0.666666666667,1.0,1.0,1.0,5.0,4.0,0.8,0.0,0.0,0.0,8.0,8.0,1.0,4.0,1.0,0.25,6.0,3.0,0.5,1.0,1.0,1.0,9.0,7.0,0.777777777778,0.0,0.0,0.0,3.0,2.0,0.666666666667,0.0,0.0,0.0,11.0,11.0,1.0,21.0,10.0,0.47619047619,35.0,19.0,0.542857142857,13.0,9.0,0.692307692308,0.0,0.0,0.0,0.0,0.0,0.0,56.0,46.0,0.821428571429,20.0,19.0,0.95,40.0,35.0,0.875,22.0,19.0,0.863636363636,11.0,5.0,0.454545454545,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201566.0,Russell Westbrook,0.0,0.0,0.0,398.0,90.0,0.226130653266,129.0,41.0,0.317829457364,69.0,52.0,0.753623188406,29.0,15.0,0.51724137931,20.0,14.0,0.7,217.0,128.0,0.589861751152,1.0,1.0,1.0,291.0,143.0,0.491408934708,25.0,10.0,0.4,1.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,0.75,19.0,8.0,0.421052631579,16.0,8.0,0.5,4.0,3.0,0.75,1.0,0.0,0.0,4.0,2.0,0.5,43.0,18.0,0.418604651163,20.0,9.0,0.45,10.0,6.0,0.6,7.0,4.0,0.571428571429,4.0,2.0,0.5,25.0,24.0,0.96,10.0,6.0,0.6,0.0,0.0,0.0,5.0,4.0,0.8,4.0,3.0,0.75,1.0,1.0,1.0,4.0,1.0,0.25,8.0,4.0,0.5,20.0,18.0,0.9,17.0,6.0,0.352941176471,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,6.0,1.0,22.0,17.0,0.772727272727,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201942.0,DeMar DeRozan,2.0,1.0,0.5,438.0,128.0,0.292237442922,50.0,20.0,0.4,22.0,16.0,0.727272727273,34.0,14.0,0.411764705882,12.0,8.0,0.666666666667,128.0,75.0,0.5859375,2.0,2.0,1.0,194.0,89.0,0.458762886598,33.0,17.0,0.515151515152,2.0,2.0,1.0,12.0,8.0,0.666666666667,4.0,3.0,0.75,46.0,18.0,0.391304347826,17.0,6.0,0.352941176471,32.0,22.0,0.6875,3.0,2.0,0.666666666667,2.0,1.0,0.5,65.0,25.0,0.384615384615,23.0,15.0,0.652173913043,5.0,3.0,0.6,94.0,45.0,0.478723404255,32.0,20.0,0.625,17.0,15.0,0.882352941176,8.0,6.0,0.75,2.0,1.0,0.5,3.0,2.0,0.666666666667,0.0,0.0,0.0,2.0,1.0,0.5,53.0,17.0,0.320754716981,2.0,2.0,1.0,9.0,8.0,0.888888888889,4.0,4.0,1.0,1.0,0.0,0.0,6.0,2.0,0.333333333333,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,0.8,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202331.0,Paul George,2.0,2.0,1.0,813.0,272.0,0.334563345633,69.0,23.0,0.333333333333,21.0,13.0,0.619047619048,66.0,33.0,0.5,4.0,2.0,0.5,65.0,36.0,0.553846153846,0.0,0.0,0.0,166.0,79.0,0.475903614458,13.0,6.0,0.461538461538,2.0,2.0,1.0,21.0,19.0,0.904761904762,6.0,3.0,0.5,35.0,13.0,0.371428571429,18.0,9.0,0.5,12.0,5.0,0.416666666667,0.0,0.0,0.0,6.0,3.0,0.5,26.0,10.0,0.384615384615,7.0,6.0,0.857142857143,3.0,2.0,0.666666666667,9.0,7.0,0.777777777778,3.0,3.0,1.0,11.0,9.0,0.818181818182,8.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.5,0.0,0.0,0.0,9.0,2.0,0.222222222222,4.0,3.0,0.75,7.0,6.0,0.857142857143,8.0,4.0,0.5,0.0,0.0,0.0,6.0,5.0,0.833333333333,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
